Code secteur;Libelle secteur;Code site;Libelle site;Code batiment;Libelle batiment;Lattitude/longitude;Adresse numero;Adresse rue;Adresse code postal;Adresse ville;Code salle;Libellé salle;Numero piece
16;PESSAC;20;MONTAIGNE-MONTESQUIEU;A1;Bâtiment A1;44.797665/-0.619361;;rue Léon Duguit;33608;PESSAC;4;Salle informatique;
5;BORDEAUX ;23;CARREIRE;200;Bâtiment AD;44.825218/-0.605136;146;Léo Saignat;33076;BORDEAUX;10;Salle Informatique;
17;TALENCE;1;PEIXOTTO;A22;Bâtiment A22;44.807202/-0.598968;351;cours de la libération;33405;TALENCE;-102;Salle de cours;-102
17;TALENCE;1;PEIXOTTO;A22;Bâtiment A22;44.807202/-0.598968;351;cours de la libération;33405;TALENCE;-103;Salle de cours;-103
17;TALENCE;1;PEIXOTTO;A22;Bâtiment A22;44.807202/-0.598968;351;cours de la libération;33405;TALENCE;-104;Salle de cours;-104
5;BORDEAUX ;15;BASTIDE;1;PUSG;44.844557/-0.557807;35;avenue Abadie;33073;BORDEAUX;D101a;Salle d'équipe;
5;BORDEAUX ;15;BASTIDE;1;PUSG;44.844557/-0.557807;35;avenue Abadie;33073;BORDEAUX;D101b;Salle d'équipe;
5;BORDEAUX ;15;BASTIDE;1;PUSG;44.844557/-0.557807;35;avenue Abadie;33073;BORDEAUX;D101c;Salle d'équipe;
5;BORDEAUX ;15;BASTIDE;1;PUSG;44.844557/-0.557807;35;avenue Abadie;33073;BORDEAUX;D101d;Salle d'équipe;
5;BORDEAUX ;15;BASTIDE;1;PUSG;44.844557/-0.557807;35;avenue Abadie;33073;BORDEAUX;D101e;Salle d'équipe;
8;GRADIGNAN;5;ROCQUENCOURT;E02;Bâtiment 0, 2, 3A;44.791503/-0.611602;15;rue Naudet;33175;GRADIGNAN;2;Salle informatique;2
5;BORDEAUX ;23;CARREIRE;202;BU Josy Reiffers;44.825766/-0.604804;146;Léo Saignat;33076;BORDEAUX;9;Salle informatique;
1;AGEN;11;CAMPUS MICHEL SERRES;K1;DUSA;44.185901/0.625623;1;campus Michel Serres;47000;AGEN;13;Salle d'équipe;
1;AGEN;11;CAMPUS MICHEL SERRES;K1;DUSA;44.185901/0.625623;1;campus Michel Serres;47000;AGEN;16;Salle d'équipe;
1;AGEN;11;CAMPUS MICHEL SERRES;K1;DUSA;44.185901/0.625623;1;campus Michel Serres;47000;AGEN;22;Salle d'équipe;
1;AGEN;11;CAMPUS MICHEL SERRES;K1;DUSA;44.185901/0.625623;1;campus Michel Serres;47000;AGEN;24;Salle d'équipe;
